CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Groupe,Numero,Pont,Num,Cote,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_nan,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Destination_nan
False,39.0,False,0.0,0.0,0.0,0.0,0.0,False,1,1,2,0,1,1.0,0.0,0.0,0.0,1.0,0.0
False,24.0,False,109.0,9.0,25.0,549.0,44.0,True,2,1,6,0,2,0.0,0.0,0.0,0.0,1.0,0.0
False,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,3,1,1,0,2,1.0,0.0,0.0,0.0,1.0,0.0
False,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,3,2,1,0,2,1.0,0.0,0.0,0.0,1.0,0.0
False,16.0,False,303.0,70.0,151.0,565.0,2.0,True,4,1,6,1,2,0.0,0.0,0.0,0.0,1.0,0.0
False,44.0,False,0.0,483.0,0.0,291.0,0.0,True,5,1,6,0,1,0.0,0.0,0.0,1.0,0.0,0.0
False,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,6,1,6,2,2,0.0,0.0,0.0,0.0,1.0,0.0
True,28.0,False,0.0,0.0,0.0,0.0,212.96594922825534,True,6,2,7,0,2,0.0,0.0,0.0,0.0,1.0,0.0
False,35.0,False,0.0,785.0,17.0,216.0,0.0,True,7,1,6,3,2,0.0,0.0,0.0,0.0,1.0,0.0
True,14.0,False,0.0,0.0,0.0,0.0,0.0,True,8,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0
True,34.0,False,0.0,0.0,165.06994441615538,0.0,0.0,True,8,2,2,1,1,1.0,0.0,0.0,0.0,1.0,0.0
False,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,8,3,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0
False,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,9,1,6,1,1,0.0,1.0,0.0,0.0,1.0,0.0
False,48.0,False,719.0,1.0,65.0,0.0,24.0,False,10,1,7,1,2,0.0,0.0,0.0,0.0,1.0,0.0
False,28.0,False,8.0,974.0,12.0,2.0,7.0,True,11,1,6,2,1,0.0,0.0,0.0,0.0,1.0,0.0
False,31.0,False,32.0,0.0,876.0,0.0,0.0,False,12,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
False,27.0,False,1286.0,122.0,218.6253422785844,0.0,0.0,False,14,1,6,3,1,0.0,1.0,0.0,0.0,0.0,0.0
False,24.0,False,0.0,1.0,0.0,0.0,637.0,False,15,1,6,4,1,0.0,0.0,0.0,0.0,0.0,0.0
True,45.0,False,0.0,0.0,0.0,0.0,0.0,True,16,1,6,5,1,0.0,1.0,0.0,0.0,1.0,0.0
False,0.0,False,0.0,0.0,0.0,0.0,0.0,True,17,1,7,0,1,0.0,0.0,0.0,0.0,1.0,0.0
False,14.0,False,412.0,0.0,1.0,0.0,679.0,False,17,2,6,6,1,0.0,0.0,0.0,0.0,0.0,0.0
True,1.0,False,0.0,0.0,0.0,0.0,0.0,False,20,1,5,0,2,0.0,0.0,0.0,0.0,1.0,0.0
True,49.0,False,0.0,0.0,0.0,0.0,0.0,False,20,2,5,0,2,0.0,0.0,0.0,0.0,0.0,0.0
True,29.0,False,0.0,0.0,165.05370045058208,0.0,0.0,False,20,3,5,0,2,0.0,0.0,0.0,0.0,0.0,0.0
False,10.0,False,0.0,0.0,0.0,0.0,0.0,True,20,4,5,0,2,0.0,0.0,0.0,0.0,1.0,0.0
True,1.0,False,140.67164249518802,0.0,0.0,0.0,0.0,False,20,5,5,0,2,0.0,0.0,0.0,1.0,0.0,0.0
False,7.0,False,0.0,0.0,0.0,0.0,0.0,False,20,6,5,0,2,0.0,0.0,0.0,0.0,1.0,0.0
False,21.0,False,980.0,2.0,69.0,0.0,0.0,False,22,1,4,0,1,0.0,1.0,0.0,0.0,1.0,0.0
True,62.0,False,0.0,0.0,165.1609106233658,0.0,0.0,True,24,1,3,2,2,1.0,0.0,0.0,0.0,1.0,0.0
False,15.0,False,0.0,225.0,0.0,998.0,0.0,False,25,1,6,6,2,0.0,0.0,0.0,0.0,1.0,0.0
False,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,26,1,3,0,1,1.0,0.0,0.0,0.0,0.0,0.0
False,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,28,1,6,8,1,0.0,1.0,0.0,0.0,1.0,0.0
False,32.0,False,0.0,850.0,81.0,437.0,453.0,False,30,1,7,4,2,0.0,0.0,0.0,0.0,1.0,0.0
False,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,31,1,6,9,1,0.0,1.0,0.0,0.0,1.0,0.0
False,2.0,False,0.0,0.0,0.0,0.0,0.0,True,31,2,6,9,1,0.0,1.0,0.0,0.0,1.0,0.0
False,20.0,False,303.3719324371905,0.0,1750.0,990.0,0.0,True,31,3,6,9,1,0.0,1.0,0.0,0.0,1.0,0.0
True,28.0,False,0.0,0.0,0.0,0.0,0.0,True,34,1,4,1,2,1.0,0.0,0.0,0.0,0.0,0.0
False,23.0,False,784.0,964.0,0.0,951.0,0.0,False,35,1,4,1,1,0.0,1.0,0.0,0.0,0.0,0.0
False,15.0,False,0.0,492.0,48.0,20.0,401.0,False,36,1,6,8,2,0.0,0.0,0.0,0.0,0.0,0.0
False,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,38,1,6,10,2,0.0,0.0,0.0,0.0,0.0,0.0
True,30.0,False,0.0,0.0,165.05694924369675,0.0,0.0,False,39,1,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0
True,17.0,False,0.0,0.0,0.0,0.0,0.0,True,41,1,7,2,1,0.0,0.0,0.0,0.0,1.0,0.0
False,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,43,1,2,3,1,1.0,0.0,0.0,0.0,1.0,0.0
True,55.0,False,0.0,0.0,0.0,0.0,0.0,False,44,1,7,3,1,0.0,0.0,0.0,0.0,1.0,0.0
True,4.0,False,0.0,0.0,0.0,0.0,0.0,True,44,2,7,3,1,0.0,0.0,0.0,0.0,0.0,0.0
True,21.0,False,0.0,0.0,0.0,0.0,0.0,True,44,3,7,3,1,0.0,0.0,0.0,1.0,0.0,0.0
False,21.0,False,970.0,0.0,180.0,0.0,64.0,False,45,1,6,10,1,0.0,1.0,0.0,0.0,1.0,0.0
True,19.0,False,0.0,0.0,0.0,0.0,0.0,True,45,2,6,10,1,0.0,1.0,0.0,0.0,0.0,1.0
False,35.0,False,790.0,0.0,0.0,262.3875076017089,0.0,False,50,1,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0
False,56.0,False,0.0,112.0,0.0,1379.0,127.0,False,51,1,5,2,2,0.0,0.0,0.0,0.0,1.0,0.0
False,32.86886549214379,False,4.0,0.0,2.0,4683.0,0.0,False,52,1,7,6,2,0.0,0.0,0.0,0.0,1.0,0.0
False,25.0,False,0.0,0.0,1938.0,0.0,1.0,True,53,1,6,11,2,0.0,0.0,0.0,0.0,1.0,0.0
False,2.0,False,0.0,0.0,0.0,0.0,0.0,True,56,1,1,1,2,1.0,0.0,0.0,0.0,1.0,0.0
True,38.0,False,0.0,0.0,0.0,0.0,0.0,True,56,2,1,1,2,1.0,0.0,0.0,0.0,1.0,0.0
False,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,56,3,1,1,2,1.0,0.0,0.0,0.0,1.0,0.0
True,36.0,False,0.0,0.0,0.0,0.0,0.0,False,58,1,7,7,2,0.0,0.0,0.0,1.0,0.0,0.0
False,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False,61,1,6,12,2,0.0,0.0,0.0,0.0,1.0,0.0
False,62.0,False,0.0,592.0,0.0,17.0,25.0,False,62,1,6,13,2,0.0,0.0,0.0,0.0,1.0,0.0
True,15.0,False,0.0,0.0,0.0,0.0,0.0,True,64,1,6,14,2,0.0,1.0,0.0,0.0,1.0,0.0
